               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087747,             0.03504,                   0,             0.31482,             0.43772,              0.3296,            0.096094,            0.053328,             0.01487,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.056856,            0.027911,                   0,             0.49176,             0.50534,             0.51357,             0.20738,             0.05651,           0.0091646,                   0,            0.040334,           0.0065567,           0.0065567
                   2,            0.049693,            0.022496,                   0,             0.69837,             0.74377,             0.77103,             0.25687,            0.045001,           0.0086381,                   0,            0.010203,           0.0097584,           0.0097584
                   3,            0.043678,             0.02136,                   0,             0.61899,             0.57651,             0.53402,             0.20678,             0.04657,           0.0093514,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.039213,            0.019521,                   0,             0.84909,             0.82097,             0.87303,              0.4419,            0.034891,           0.0076383,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.035061,            0.018043,                   0,             0.80644,             0.75089,              0.8005,              0.3784,              0.0429,           0.0075435,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034623,             0.01758,                   0,             0.89147,             0.82562,             0.89108,              0.5024,              0.0344,           0.0081707,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.032199,            0.017751,                   0,             0.89246,             0.85645,             0.90731,             0.51789,            0.034459,           0.0077374,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.030083,            0.016943,                   0,             0.87461,             0.86121,             0.90287,             0.47857,             0.03465,            0.007875,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.02981,            0.016685,                   0,             0.93275,             0.85409,             0.90733,             0.49608,            0.033649,           0.0079395,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.028792,            0.016712,                   0,              0.8741,             0.82562,             0.89441,             0.52157,            0.034751,           0.0076127,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028987,            0.016113,                   0,               0.864,             0.84342,             0.86885,             0.46915,            0.036284,           0.0079679,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026946,            0.016309,                   0,             0.88793,             0.85765,             0.88975,              0.5349,            0.034503,           0.0073228,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.025727,            0.015635,                   0,             0.86945,             0.80783,             0.85283,             0.47678,            0.034473,           0.0073687,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.025572,            0.015551,                   0,             0.88053,             0.80071,               0.865,             0.47074,            0.037159,           0.0077602,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.02503,             0.01544,                   0,             0.91432,             0.81139,             0.88777,             0.47116,            0.033408,           0.0079405,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.024286,            0.014211,                   0,             0.79597,             0.80427,             0.84125,             0.50112,            0.035986,           0.0074244,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02496,            0.014606,                   0,              0.8344,             0.82486,              0.8755,             0.51656,            0.033349,           0.0077351,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.024173,            0.015317,                   0,             0.86926,             0.85182,             0.89027,             0.51554,            0.032628,           0.0076104,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.023319,            0.014348,                   0,             0.88585,             0.80088,             0.86404,             0.50395,             0.03546,           0.0076775,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.023755,            0.014475,                   0,             0.85017,             0.81495,             0.87797,             0.51003,            0.031058,           0.0077205,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.023136,            0.014119,                   0,             0.88908,             0.85053,             0.87767,             0.52636,            0.032789,           0.0074522,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.022264,            0.013588,                   0,             0.89061,             0.85409,             0.89062,             0.52311,            0.033109,            0.007627,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021949,            0.013504,                   0,             0.90212,             0.83274,             0.89087,             0.56334,            0.031778,           0.0074391,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.023477,            0.013911,                   0,             0.87115,             0.83986,             0.88432,             0.53183,             0.03377,           0.0073362,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.021844,            0.013861,                   0,             0.89747,              0.8411,             0.88834,             0.51941,            0.032732,           0.0074865,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.021967,             0.01359,                   0,             0.82628,             0.86327,             0.88827,             0.55337,             0.03068,           0.0074817,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.021747,            0.013384,                   0,             0.89165,             0.84928,             0.89554,             0.53054,            0.035121,            0.007649,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.021515,             0.01401,                   0,             0.91996,             0.81803,             0.90009,             0.57485,            0.033335,           0.0071476,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.020278,            0.013384,                   0,             0.84528,             0.86833,             0.90354,             0.53584,            0.030942,           0.0071722,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.020327,            0.013365,                   0,             0.84809,             0.85428,             0.87346,             0.53816,            0.033161,           0.0073918,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.019183,            0.012889,                   0,              0.8608,             0.81424,             0.86532,             0.56312,            0.033489,           0.0074615,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.020813,            0.013228,                   0,             0.88552,             0.82578,             0.87388,             0.54197,            0.033036,           0.0078378,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.019591,            0.012627,                   0,             0.91474,             0.84003,             0.86398,              0.5198,            0.035081,           0.0078531,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.020459,            0.012989,                   0,             0.91543,             0.80427,             0.86961,             0.51572,            0.034064,           0.0076749,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.01911,            0.012666,                   0,             0.84826,             0.83274,             0.86184,             0.54663,            0.034199,           0.0069612,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.019613,            0.012323,                   0,             0.88556,             0.82611,             0.88522,             0.56332,            0.032185,           0.0076772,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.018063,            0.012412,                   0,             0.84987,             0.87189,             0.89213,             0.56012,            0.031669,           0.0073645,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.01948,            0.012128,                   0,             0.87899,             0.88612,               0.896,             0.56556,            0.030877,           0.0075125,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018894,            0.012151,                   0,             0.92698,             0.85836,             0.90076,             0.54403,            0.032812,            0.007755,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018423,            0.012296,                   0,             0.89848,             0.85409,             0.89717,             0.55979,            0.032502,           0.0074544,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018469,            0.012091,                   0,             0.89873,             0.85765,             0.87487,             0.56076,             0.03023,           0.0074706,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018893,              0.0123,                   0,             0.92522,             0.86121,             0.89336,             0.53642,            0.031701,             0.00774,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.017739,            0.011232,                   0,             0.91622,             0.85618,             0.89308,             0.55244,            0.031772,           0.0074339,                   0,            0.005842,            0.005842,            0.005842
